RADICADO,FECHA,HORA,CLASE,DIRECCIÓN,BARRIO,COMUNA,Nº VICTIMA PEATON,Nº VICTIMA ACOMPANANTE,Nº VICTIMAPASAJERO,Nº VICTIMA CONDUCTOR,Nº VICTIMA HERIDO,Nº VICTIMA MUERTO
"20,235",06/27/2021 12:00:00 AM,9:00:00 AM,Volcamiento,6205 HATILLO ANTIOQUIA GIRARDOTA,ESMERALDA,Rural,0,1,0,1,2,0
"20,239",06/24/2021 12:00:00 AM,5:40:00 PM,Atropello,km 2 + 300,ESMERALDA,Rural,1,0,0,1,2,0
"20,234",06/26/2021 12:00:00 AM,8:30:00 AM,Volcamiento,VEREDA LA CUESTA,PARQUE PRINCIPAL,Rural,0,0,0,1,1,0
"20,236",06/28/2021 12:00:00 AM,4:15:00 PM,Volcamiento,PORCE,ESMERALDA,Rural,0,0,0,1,1,0
"20,237",06/24/2021 12:00:00 AM,6:30:00 PM,Volcamiento,VEREDA POPALITO,ESMERALDA,Rural,0,0,0,1,1,0
"20,238",06/27/2021 12:00:00 AM,7:00:00 PM,Volcamiento,LA LOMITA 2,PARQUE PRINCIPAL,Rural,0,0,1,0,1,0
"20,230",06/15/2021 12:00:00 AM,3:00:00 PM,Choque,"km25+800 la arenera via Hatillo , Don Matias",PARQUE PRINCIPAL,Rural,0,1,0,1,2,0
"20,231",06/16/2021 12:00:00 AM,5:00:00 PM,Choque,KM 7 + 500 VEREDA GRACIANO,PARQUE PRINCIPAL,Rural,0,0,0,0,0,0
"20,232",06/19/2021 12:00:00 AM,1:30:00 PM,Choque,KM28+740 HATILLO SANTA ROSA (BRISAS DEL NORTE),ESMERALDA,Rural,0,0,1,1,1,1
"20,233",06/25/2021 12:00:00 AM,5:30:00 PM,Choque,KM 28 + 500,ESMERALDA,Rural,0,0,0,0,0,0
"20,229",06/27/2021 12:00:00 AM,6:25:00 PM,Volcamiento,CALLE 16 CON CARRERA 18 SANTA MONICA,HOSPITAL,Urbana,0,0,0,1,1,0
"20,227",06/18/2021 12:00:00 AM,5:00:00 PM,Atropello,km 01+100 hatillo,ESMERALDA,Rural,0,0,1,0,1,0
"20,228",06/25/2021 12:00:00 AM,12:50:00 PM,Choque,RUTA 62-05 KM 27,ESMERALDA,Rural,0,0,1,1,2,0
"20,221",06/18/2021 12:00:00 AM,8:00:00 PM,Volcamiento,el trapiche,ESMERALDA,Rural,0,0,0,1,1,0
"20,222",06/19/2021 12:00:00 AM,11:50:00 AM,Choque,KM 4+500 HATILLO- PRADERA,ESMERALDA,Rural,0,0,0,1,1,0
"20,223",06/21/2020 12:00:00 AM,7:50:00 PM,Choque,CRA 21 CON CALLE 20,HOSPITAL,Urbana,0,0,0,0,0,0
"20,219",06/20/2021 12:00:00 AM,8:00:00 AM,Choque,km 9 + 800,ESMERALDA,Rural,0,0,0,0,0,0
"20,220",06/18/2021 12:00:00 AM,7:00:00 PM,Choque,KM 7 +6OO LOS LAVADEROS,ESMERALDA,Rural,0,0,2,1,3,0
"20,218",06/13/2021 12:00:00 AM,10:20:00 PM,Volcamiento,carrera 21 con calle 10,PARQUE PRINCIPAL,Urbana,0,0,0,1,1,0
"20,216",06/17/2021 12:00:00 AM,5:30:00 PM,Choque,KM 3 + 320 TR 6205,ESMERALDA,Rural,0,1,0,1,2,0
"20,217",06/14/2021 12:00:00 AM,12:12:00 AM,Choque,KM 04+00 ENTRADA VEREDA EL ECO,ESMERALDA,Rural,0,0,0,1,1,0
"20,215",06/16/2021 12:00:00 AM,5:50:00 PM,Volcamiento,"c 6,6 km de molino viejo (via Barbosa,Santo Domingo)",PARQUE PRINCIPAL,Rural,0,1,0,1,2,0
"20,208",06/14/2021 12:00:00 AM,6:00:00 PM,Volcamiento,k 08 + 700 entrda la playita,ESMERALDA,Rural,0,0,0,1,1,0
"20,206",06/15/2021 12:00:00 AM,8:30:00 AM,Atropello,barrio santamonica,PARQUE PRINCIPAL,Urbana,0,0,0,0,1,0
"20,209",06/12/2021 12:00:00 AM,4:00:00 PM,Volcamiento,HOSPITAL BARBOSA,PARQ.DE LAS AGUAS,Urbana,0,0,0,1,1,0
"20,210",06/10/2021 12:00:00 AM,8:40:00 PM,Choque,KM 8  +400,ESMERALDA,Rural,0,0,0,0,0,0
"20,211",06/12/2021 12:00:00 AM,10:20:00 PM,Choque,"VIA BELLO, HATILLO KM 23+00",PARQUE PRINCIPAL,Rural,0,0,0,0,0,0
"20,212",06/12/2021 12:00:00 AM,10:00:00 PM,Choque,"VIA BELLO, HATILLO KM23+200",PARQUE PRINCIPAL,Rural,0,0,0,0,0,0
"20,213",06/13/2021 12:00:00 AM,9:00:00 PM,Choque,"VIA HATILLO, PRADERA KM14+700",ESMERALDA,Rural,0,1,0,1,2,0
"20,214",06/16/2021 12:00:00 AM,7:00:00 AM,Volcamiento,VEREDA EL SALADO,ESMERALDA,Rural,0,0,0,1,1,0
"20,203",06/12/2021 12:00:00 AM,3:45:00 PM,Choque,PRADERA-HATILLO KM7+400,ESMERALDA,Rural,0,1,0,1,2,0
"20,204",06/11/2021 12:00:00 AM,9:24:00 PM,Volcamiento,K3+600 VEREDA CORRIENTES,ESMERALDA,Rural,0,0,1,0,1,0
"20,202",06/08/2021 12:00:00 AM,7:30:00 AM,Choque,"vereda caña honda, via santo domingo",ESMERALDA,Rural,0,0,0,0,0,0
"20,199",06/06/2021 12:00:00 AM,4:00:00 PM,Choque,CARRERA 17 POR CALLE 20,HOSPITAL,Urbana,0,0,0,0,0,0
"20,200",06/08/2021 12:00:00 AM,7:20:00 AM,Atropello,BELLO-HATILLO KM 20+700,ESMERALDA,Rural,0,0,1,0,1,0
"20,201",06/06/2021 12:00:00 AM,4:00:00 AM,Volcamiento,VEREDA LA CALDA,ESMERALDA,Rural,0,0,0,1,1,0
"20,195",06/04/2021 12:00:00 AM,7:30:00 AM,Choque,2510 KM 33+400,ESMERALDA,Rural,0,0,0,0,0,0
"20,196",06/05/2021 12:00:00 AM,5:05:00 PM,Volcamiento,6205A BARBOSA CISNEROS KM 18+500,ESMERALDA,Rural,0,0,1,0,1,0
"20,197",06/06/2021 12:00:00 AM,10:00:00 PM,Choque,calle 5 # 18a 26,ESMERALDA,Rural,0,0,0,1,1,0
